series_idx,window_start,window_end,anchor_index,curv_pred,curv_real,left_radius_pred,right_radius_pred,left_radius_real,right_radius_real,side_pred,side_real,iid_avg_window,sonar_distance_last
0,0,4,4,0.0,-0.00039999998989515007,2500.0,2500.0,850.0,2500.0,straight_open,right,-2.305548906326294,1.4451119899749756
1,1,5,5,0.0,-0.00039999998989515007,2500.0,2500.0,900.0,2500.0,straight_open,right,-3.7879059314727783,2.06353759765625
2,2,6,6,0.0,-0.0005714285653084517,2500.0,2500.0,1050.0,1750.0,straight_open,right,-4.014642238616943,2.0816116333007812
3,3,7,7,0.0,-0.0006451613153330982,2500.0,2500.0,1000.0,1550.0,straight_open,right,-3.2365283966064453,1.8807742595672607
4,4,8,8,0.0,-0.0007142857066355646,2500.0,2500.0,1000.0,1400.0,straight_open,right,-2.8786654472351074,1.6994974613189697
5,5,9,9,0.0,-0.0008333333535119891,2500.0,2500.0,900.0,1200.0,straight_open,right,-2.2566537857055664,1.4998723268508911
6,6,10,10,0.0010526315309107304,-0.0010000000474974513,950.0,800.0,750.0,1000.0,left,right,-1.0106799602508545,1.3168601989746094
7,7,11,11,0.0015384615398943424,-0.001176470541395247,650.0,650.0,650.0,850.0,left,right,-1.2636995315551758,1.0996994972229004
8,8,12,12,-0.0020000000949949026,-0.0015384615398943424,500.0,500.0,500.0,650.0,right,right,-1.1135828495025635,0.900000274181366
9,9,13,13,-0.0020000000949949026,-0.0015384615398943424,350.0,500.0,350.0,650.0,right,right,-0.4593687951564789,0.7363008856773376
10,10,14,14,0.0033333334140479565,0.0028571428265422583,300.0,250.0,350.0,400.0,left,left,-0.22560985386371613,0.6272302269935608
11,11,15,15,0.0028571428265422583,0.0024999999441206455,350.0,nan,400.0,nan,left,left,-0.28053393959999084,0.5180224180221558
12,12,16,16,0.002222222276031971,0.0024999999441206455,450.0,nan,400.0,nan,left,left,0.7677782773971558,0.44527941942214966
13,13,17,17,0.0024999999441206455,0.001818181830458343,400.0,nan,550.0,nan,left,left,1.4822776317596436,0.46342670917510986
14,14,18,18,0.0016666667070239782,0.0010526315309107304,600.0,nan,950.0,nan,left,left,2.2781057357788086,0.5363948345184326
15,15,19,19,0.0010000000474974513,0.0008333333535119891,1000.0,nan,1200.0,nan,left,left,3.473154067993164,0.5179675817489624
16,16,20,20,0.00039999998989515007,0.000606060610152781,2500.0,nan,1650.0,250.0,left,left,4.336295127868652,0.6449687480926514
17,17,21,21,0.00039999998989515007,0.00039999998989515007,2500.0,300.0,2500.0,500.0,left,left,4.178872108459473,0.7540467381477356
18,18,22,22,0.00039999998989515007,0.00039999998989515007,2500.0,500.0,2500.0,650.0,left,left,4.592679977416992,1.3172664642333984
19,19,23,23,0.00039999998989515007,0.00039999998989515007,2500.0,500.0,2500.0,600.0,left,left,5.048239231109619,1.2641901969909668
20,20,24,24,0.00039999998989515007,0.00039999998989515007,2500.0,450.0,2500.0,550.0,left,left,5.041970252990723,1.118393898010254
21,21,25,25,0.00039999998989515007,0.000606060610152781,2500.0,300.0,1650.0,450.0,left,left,5.866553783416748,1.0269967317581177
22,22,26,26,0.0005128204938955605,0.0006896551931276917,1950.0,250.0,1450.0,400.0,left,left,6.950350761413574,0.9000934958457947
23,23,27,27,0.00039999998989515007,0.0006249999860301614,2500.0,300.0,1600.0,400.0,left,left,7.686470031738281,0.8636397123336792
24,24,28,28,0.00039999998989515007,0.0005263157654553652,2500.0,350.0,1900.0,400.0,left,left,7.427874565124512,0.9546397924423218
25,25,29,29,0.00039999998989515007,0.0005714285653084517,2500.0,400.0,1750.0,550.0,left,left,6.912896633148193,1.318620204925537
26,26,30,30,0.00039999998989515007,0.00074074073927477,2500.0,350.0,1350.0,500.0,left,left,6.404763698577881,1.1547024250030518
27,27,31,31,0.0010000000474974513,0.0009090909152291715,1000.0,350.0,1100.0,500.0,left,left,5.337041854858398,1.1360509395599365
28,28,32,32,0.0013333333190530539,0.001176470541395247,750.0,550.0,850.0,500.0,left,left,4.164200782775879,1.136577844619751
29,29,33,33,0.0016666667070239782,0.0015384615398943424,600.0,400.0,650.0,550.0,left,left,3.4989261627197266,0.9544916749000549
30,30,34,34,0.001818181830458343,0.001818181830458343,550.0,300.0,550.0,400.0,left,left,3.929135799407959,0.5002199411392212
31,31,35,35,0.0014285714132711291,0.001176470541395247,700.0,300.0,850.0,350.0,left,left,3.2493953704833984,0.40884751081466675
32,32,36,36,0.0009523809421807528,0.0007142857066355646,1050.0,300.0,1400.0,300.0,left,left,4.0170440673828125,0.718422532081604
33,33,37,37,0.0005263157654553652,0.0005405405536293983,1900.0,250.0,1850.0,300.0,left,left,5.373445987701416,0.7721346020698547
34,34,38,38,0.00039999998989515007,0.00039999998989515007,2500.0,300.0,2500.0,350.0,left,left,6.733198642730713,0.8458106517791748
35,35,39,39,0.00039999998989515007,0.00039999998989515007,2500.0,300.0,2500.0,400.0,left,left,6.250028133392334,0.4635502099990845
36,36,40,40,0.00039999998989515007,0.00039999998989515007,2500.0,500.0,2500.0,700.0,left,left,6.174825668334961,1.60812509059906
37,37,41,41,0.00039999998989515007,0.00039999998989515007,2500.0,600.0,2500.0,700.0,left,left,6.5911149978637695,2.045253038406372
38,38,42,42,0.00039999998989515007,0.0006451613153330982,2500.0,550.0,1550.0,700.0,left,left,6.155613899230957,1.4448156356811523
39,39,43,43,0.00039999998989515007,0.00074074073927477,2500.0,600.0,1350.0,700.0,left,left,5.3774590492248535,1.3722647428512573
